ID,BARANGAY,DATE COMMITTED,MONTH COMMITTED,DAY COMMITTED,YEAR COMMITTED,TIME COMMITTED,OFFENSE,VICTIMS Age,VICTIMS Gender,SUSPECTS Age,SUSPECTS Gender,VICTIMS COUNT,SUSPECTS COUNT,VEHICLE KIND,LONGITUDE,LATITUDE,RAINFALL,TMAX,TMIN,WIND_SPEED,WIND_DIRECTION
74,Nancayasan,8/28/2019,8,28,2019,18:55:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,38.0,F,,M,1,1,MOTORCYCLE,120.5770024,15.9523683,-1.0,30.2,24.0,3.0,160.0
75,Anonas,8/30/2019,8,30,2019,20:10:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,39.0,F,59.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.5793738,15.9951457,26.8,31.0,24.0,4.0,320.0
76,Poblacion,8/31/2019,8,31,2019,7:00:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,26.0,M,26.0,M,2,2,"JEEP,TRUCK",120.5710524,15.973328,22.6,29.6,24.0,3.0,160.0
77,Poblacion,9/2/2019,9,2,2019,15:10:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,45.0,M,24.0,M,2,1,VAN,120.5709566,15.9737809,7.8,31.5,25.0,2.0,180.0
78,San Vicente,9/3/2019,9,3,2019,4:00:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,28.0,M,,,1,0,TRUCK,120.5732788,15.9892534,19.7,27.6,24.8,2.0,160.0
79,San Jose,9/4/2019,9,4,2019,19:13:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,38.0,M,,,1,0,MOTORCYCLE,120.5033919,15.9778788,3.8,32.4,25.5,2.0,270.0
80,Nancamaliran East,9/7/2019,9,7,2019,9:05:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,83.0,F,59.0,M,1,1,TRUCK,120.5595904,15.9717287,35.6,29.0,25.0,1.0,180.0
81,San Jose,9/10/2019,9,10,2019,17:50:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,32.0,M,57.0,M,2,1,"CAR,MOTORCYCLE",120.5051539,15.9782114,4.4,26.2,23.6,2.0,340.0
82,Catablan,9/14/2019,9,14,2019,20:05:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,41.0,M,31.0,M,2,2,"CAR,MOTORCYCLE",120.5018482,15.9624834,1.0,32.0,24.8,3.0,180.0
83,Pinmaludpod,9/14/2019,9,14,2019,20:05:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,37.0,M,37.0,M,2,2,TRICYCLE,120.5117938,15.9796149,1.0,32.0,24.8,3.0,180.0
84,Labit Proper,9/15/2019,9,15,2019,21:05:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,37.0,M,,M,1,1,MOTORCYCLE,120.5305466,15.961662,26.2,30.7,25.0,3.0,160.0
85,Mabanogbog,9/15/2019,9,15,2019,19:35:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,27.0,M,24.0,M,2,1,MOTORCYCLE,120.555616,15.9845608,26.2,30.7,25.0,3.0,160.0
86,Catablan,9/16/2019,9,16,2019,1:50:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,27.0,M,27.0,M,2,2,MOTORCYCLE,120.5008714,15.9627624,1.7,30.5,25.0,3.0,160.0
87,Nancayasan,9/23/2019,9,23,2019,20:55:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,35.0,M,49.0,M,1,1,"MOTORCYCLE,TRUCK",120.5768959,15.9526383,0.0,31.2,26.4,2.0,340.0
88,Catablan,9/26/2019,9,26,2019,21:40:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,15.0,M,41.0,M,1,1,TRUCK,120.4999931,15.9638013,0.0,31.6,25.7,3.0,320.0
89,Pinmaludpod,9/27/2019,9,27,2019,20:35:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,35.0,M,35.0,M,2,2,"MOTORCYCLE,WAGON",120.5129915,15.9983631,0.0,33.7,26.3,2.0,160.0
90,Pinmaludpod,9/28/2019,9,28,2019,6:55:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,24.0,M,31.0,M,2,1,MOTORCYCLE,120.5134773,15.9800115,5.2,33.4,26.2,3.0,320.0
91,San Vicente,9/28/2019,9,28,2019,20:25:00,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,71.0,M,27.0,M,3,1,"MOTORCYCLE,TRICYCLE",120.573348,15.9896116,5.2,33.4,26.2,3.0,320.0
92,Anonas,9/30/2019,9,30,2019,15:35:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,18.0,M,36.0,M,2,1,"CAR,VAN",120.5845861,15.9936728,0.0,32.7,24.3,3.0,340.0
93,Poblacion,9/30/2019,9,30,2019,10:10:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,35.0,F,43.0,M,1,1,"PICK-UP,WAGON",120.5708555,15.9743822,0.0,32.7,24.3,3.0,340.0
94,Nancayasan,10/2/2019,10,2,2019,19:35:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,62.0,M,28.0,M,1,1,"MOTORCYCLE,TRUCK",120.5768094,15.9528763,26.8,32.0,23.5,2.0,320.0
95,Nancayasan,10/2/2019,10,2,2019,19:35:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,62.0,M,28.0,M,1,1,"MOTORCYCLE,TRUCK",120.5767109,15.9531335,26.8,32.0,23.5,2.0,320.0
96,Poblacion,10/2/2019,10,2,2019,17:50:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,20.0,F,66.0,M,1,1,"CAR,TRICYCLE",120.5707916,15.9749221,26.8,32.0,23.5,2.0,320.0
97,San Vicente,10/2/2019,10,2,2019,11:25:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,5.0,F,34.0,M,1,1,MOTORCYCLE,120.5734119,15.9898623,26.8,32.0,23.5,2.0,320.0
98,Nancayasan,10/4/2019,10,4,2019,23:45:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,35.0,M,35.0,M,2,2,"BUS,PICK-UP",120.5765898,15.9533906,0.0,32.0,24.2,2.0,160.0
99,Poblacion,10/4/2019,10,4,2019,11:50:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,49.0,M,33.0,M,1,1,"CAR,TRICYCLE",120.5707517,15.9755388,0.0,32.0,24.2,2.0,160.0
100,San Vicente,10/4/2019,10,4,2019,12:30:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,43.0,M,40.0,M,1,1,"CAR,TRUCK",120.5734492,15.9900977,0.0,32.0,24.2,2.0,160.0
101,Anonas,10/5/2019,10,5,2019,19:35:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,55.0,M,32.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.576884,16.0052685,0.0,32.4,25.6,2.0,340.0
102,Poblacion,10/6/2019,10,6,2019,9:25:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,26.0,M,26.0,M,2,1,MOTORCYCLE,120.570773,15.9762757,1.6,32.2,24.0,3.0,160.0
103,Poblacion,10/6/2019,10,6,2019,9:25:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,26.0,M,26.0,M,2,1,MOTORCYCLE,120.5708395,15.9769154,1.6,32.2,24.0,3.0,160.0
